(50.0, 107.5969)
(50.0, 128.3779)
(50.0, 128.3779)
(50.0, 128.3779)
(50.0, 128.3779)
(50.0, 128.3779)
(50.0, 128.3779)
(50.0, 132.414)
(50.0, 136.7155)
(50.0, 141.2821)
(50.0, 146.1133)
(50.0, 151.2086)
(50.0, 156.5677)
(50.0, 162.1901)
(50.0, 168.0754)
(50.0, 174.223)
(50.0, 180.6327)
(50.0, 187.3038)
(50.0, 194.2361)
(50.0, 201.429)
(54.05527, 197.4994)
(57.28202, 195.6516)
key: 1
(63.71941, 192.7816)
(66.93005, 191.7584)
(70.13535, 191.0091)
(73.3353, 190.5333)
(76.52991, 190.3305)
(79.71921, 190.4003)
(82.90319, 190.7421)
(86.08186, 191.3557)
(89.25524, 192.2404)
(92.42332, 193.3959)
(95.58613, 194.8216)
(98.74366, 196.5172)
(101.8959, 198.4823)
(105.043, 200.7162)
(108.1847, 203.2187)
(111.3213, 205.9892)
(114.4526, 209.0273)
(117.5787, 212.3326)
(120.6995, 215.9046)
(123.8152, 219.7428)
(126.9257, 223.8469)
(130.031, 228.2164)
(133.1311, 232.8508)
(136.2261, 237.7496)
(139.3159, 242.9126)
(142.4006, 248.3392)
(145.4801, 254.0289)
(148.5544, 259.9814)
(151.6237, 266.1962)
(154.6878, 272.6729)
(157.7469, 279.411)
(160.8008, 286.4101)
(163.8497, 293.6697)
(166.8934, 301.1895)
(169.9321, 308.9689)
(172.9657, 317.0076)
(175.9943, 325.3051)
(179.0178, 333.861)
(182.0363, 342.6749)
(185.0498, 351.7463)
(188.0582, 361.0748)
(191.0616, 370.66)
(194.06, 380.5015)
(197.0534, 390.5987)
(200.0418, 400.9514)
(203.0253, 411.559)
(206.0038, 422.4212)
(208.9773, 433.5374)
(211.9458, 444.9074)
(214.9094, 456.5307)
(217.8681, 468.4068)
(220.8218, 480.5353)
(223.7706, 492.9158)
(226.7145, 505.5479)
(229.6535, 518.4312)
(232.5876, 531.5652)
(235.5168, 544.9496)
(238.4411, 558.5839)
(241.3605, 572.4677)
(244.2751, 586.6006)
(247.1848, 600.9821)
(250.0897, 615.6119)
(252.9897, 630.4895)
(255.8849, 645.6146)
(258.7753, 660.9866)
(261.6609, 676.6053)
(264.5416, 692.4702)
(267.4176, 708.5808)
(270.2887, 724.9368)
(273.1551, 741.5378)
(276.0167, 758.3833)
(278.8735, 775.473)
(281.7255, 792.8064)
(284.5728, 810.3831)
(287.4154, 828.2028)
(290.2532, 846.265)
(293.0863, 864.5693)
(295.9147, 883.1153)
(298.7383, 901.9026)
(301.5573, 920.9309)
(304.3715, 940.1996)
(307.1811, 959.7085)
(309.9859, 979.4571)
(312.7861, 999.4449)
(315.5817, 1019.672)
(318.3725, 1040.137)
(321.1588, 1060.84)
(323.9403, 1081.782)
(326.7173, 1102.96)
(329.4896, 1124.375)
(332.2573, 1146.027)
(335.0204, 1167.915)
(337.7789, 1190.039)
(340.5327, 1212.398)
(343.282, 1234.992)
(346.0268, 1257.821)
(348.7669, 1280.884)
(351.5025, 1304.181)
(354.2335, 1327.711)
(356.96, 1351.474)
(359.6819, 1375.469)
(362.3993, 1399.697)
(365.1121, 1424.157)
(367.8204, 1448.848)
(370.5242, 1473.77)
(373.2235, 1498.923)
(375.9183, 1524.306)
(378.6086, 1549.92)
(381.2945, 1575.762)
(383.9758, 1601.834)
(386.6527, 1628.135)
(389.3251, 1654.664)
(391.9931, 1681.421)
(394.6566, 1708.405)
(397.3157, 1735.617)
(399.9704, 1763.056)
(402.6206, 1790.721)
(405.2664, 1818.613)
(407.9078, 1846.73)
(410.5448, 1875.072)
(413.1774, 1903.64)
(415.8056, 1932.432)
(418.4294, 1961.448)
(421.0489, 1990.688)
(423.664, 2020.152)
(426.2747, 2049.838)
(428.8811, 2079.748)
(431.4832, 2109.88)
(434.0809, 2140.233)
(436.6743, 2170.809)
(439.2633, 2201.606)
(441.8481, 2232.623)
(444.4285, 2263.862)
(447.0047, 2295.32)
(449.5765, 2326.998)
(452.144, 2358.896)
(454.7073, 2391.012)
(457.2663, 2423.348)
(459.821, 2455.901)
(462.3715, 2488.673)
(464.9178, 2521.662)
(467.4597, 2554.869)
(469.9975, 2588.292)
(472.531, 2621.932)
(475.0603, 2655.788)
(477.5854, 2689.86)
(480.1063, 2724.147)
(482.6229, 2758.65)
(485.1354, 2793.367)
(487.6437, 2828.298)
(490.1478, 2863.444)
(492.6477, 2898.803)
(495.1435, 2934.375)
(497.6351, 2970.16)
(500.1225, 3006.158)
(502.6058, 3042.368)
(505.085, 3078.79)
(507.56, 3115.423)
(510.0309, 3152.268)
(512.4977, 3189.323)
(514.9604, 3226.589)
(517.419, 3264.065)
(519.8735, 3301.751)
(522.3239, 3339.646)
(524.7701, 3377.751)
(527.2123, 3416.064)
(529.6505, 3454.585)
(532.0846, 3493.314)
(534.5146, 3532.251)
(536.9406, 3571.396)
(539.3625, 3610.747)
(541.7805, 3650.305)
(544.1943, 3690.069)
(546.6042, 3730.039)
(549.01, 3770.215)
(551.4119, 3810.596)
(553.8097, 3851.182)
(556.2035, 3891.972)
(558.5933, 3932.967)
(560.9792, 3974.166)
(563.3611, 4015.568)
(565.739, 4057.174)
(568.113, 4098.982)
(570.483, 4140.993)
(572.849, 4183.206)
(575.2111, 4225.621)
(577.5693, 4268.238)
(579.9235, 4311.056)
(582.2738, 4354.074)
(584.6202, 4397.293)
(586.9626, 4440.713)
(589.3012, 4484.332)
(591.6359, 4528.151)
(593.9667, 4572.169)
(596.2936, 4616.386)
(598.6166, 4660.801)
(600.9357, 4705.414)
(603.251, 4750.225)
(605.5624, 4795.234)
(607.87, 4840.44)
(610.1737, 4885.843)
(612.4736, 4931.442)
(614.7697, 4977.238)
(617.0619, 5023.23)
(619.3503, 5069.417)
(621.6349, 5115.799)
(623.9156, 5162.376)
(626.1926, 5209.148)
(628.4658, 5256.115)
(630.7352, 5303.275)
(633.0009, 5350.628)
(635.2627, 5398.175)
(637.5208, 5445.915)
(639.7751, 5493.848)
(642.0256, 5541.973)
(644.2725, 5590.29)
(646.5155, 5638.798)
(648.7548, 5687.499)
(650.9904, 5736.39)
(653.2223, 5785.472)
(655.4504, 5834.744)
(657.6749, 5884.207)
(659.8956, 5933.859)
(662.1126, 5983.701)
(664.3259, 6033.731)
(666.5356, 6083.951)
(668.7415, 6134.359)
(670.9438, 6184.956)
(673.1424, 6235.74)
(675.3373, 6286.711)
(677.5286, 6337.871)
(679.7162, 6389.217)
(681.9002, 6440.75)
(684.0806, 6492.469)
(686.2573, 6544.374)
(688.4304, 6596.464)
(690.5998, 6648.741)
(692.7656, 6701.202)
(694.9279, 6753.848)
(697.0865, 6806.679)
(699.2415, 6859.693)
(701.3929, 6912.892)
(703.5408, 6966.274)
(705.6851, 7019.84)
(707.8257, 7073.588)
(709.9629, 7127.519)
(712.0964, 7181.632)
(714.2264, 7235.928)
(716.3529, 7290.405)
(718.4758, 7345.063)
(720.5952, 7399.903)
(722.7111, 7454.923)
(724.8234, 7510.124)
(726.9322, 7565.505)
(729.0375, 7621.066)
(731.1393, 7676.807)
(733.2375, 7732.727)
(735.3323, 7788.826)
(737.4236, 7845.104)
(739.5115, 7901.56)
(741.5958, 7958.194)
(743.6767, 8015.006)
(745.7541, 8071.996)
(747.828, 8129.163)
(749.8984, 8186.507)
(751.9655, 8244.027)
(754.0291, 8301.725)
(756.0892, 8359.598)
(758.1459, 8417.646)
(760.1992, 8475.871)
(762.249, 8534.271)
(764.2955, 8592.845)
(766.3385, 8651.594)
(768.3781, 8710.517)
(770.4143, 8769.613)
(772.4471, 8828.884)
(774.4766, 8888.328)
(776.5026, 8947.945)
(778.5253, 9007.735)
(780.5446, 9067.698)
(782.5605, 9127.833)
(784.5731, 9188.141)
